wavs_paths,peak_frequency,specs,n_syllables,path,peak_freq_pred,n_syllables_pred
210924-071028_uiM_tt_28s.wav,1500.0,210924-071028_uiM_tt_28s.jpg,1.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210924-071028_uiM_tt_28s.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210624-094108_1s_uM_tt.wav,10265.625,210624-094108_1s_uM_tt.jpg,3.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210624-094108_1s_uM_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210707-112111_6s_mie_tt.wav,6468.75,210707-112111_6s_mie_tt.jpg,6.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210707-112111_6s_mie_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210625-114034_3s_man_tt.wav,8625.0,210625-114034_3s_man_tt.jpg,5.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210625-114034_3s_man_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210914-080445_uafP_tt_1s.wav,9703.125,210914-080445_uafP_tt_1s.jpg,7.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210914-080445_uafP_tt_1s.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
211209-112549_uM_tt_78s.wav,1312.5,211209-112549_uM_tt_78s.jpg,1.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/211209-112549_uM_tt_78s.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
220223-075957_25s_uT_tt.wav,6046.875,220223-075957_25s_uT_tt.jpg,1.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/220223-075957_25s_uT_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
211103-082228_TAN_tt_1s.wav,4265.625,211103-082228_TAN_tt_1s.jpg,6.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/211103-082228_TAN_tt_1s.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
220120-134001_61s_TRU_tt.wav,10875.0,220120-134001_61s_TRU_tt.jpg,5.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/220120-134001_61s_TRU_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210924-071430_MEZ_tt_29s.wav,3468.75,210924-071430_MEZ_tt_29s.jpg,7.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210924-071430_MEZ_tt_29s.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210623-141552_5s_tot_tt.wav,5953.125,210623-141552_5s_tot_tt.jpg,5.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210623-141552_5s_tot_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210625-113350_55s_mis_tt.wav,4406.25,210625-113350_55s_mis_tt.jpg,9.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210625-113350_55s_mis_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210624-064957_38s_mez_tt.wav,3375.0,210624-064957_38s_mez_tt.jpg,7.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210624-064957_38s_mez_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
